,Australia,Austria,Belgium,Canada,Chile,CzechRepublic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Korea,Latvia,Luxembourg,Mexico,Netherlands,NewZealand,Norway,Poland,Portugal,SlovakRepublic,Slovenia,Spain,Sweden,Switzerland,Turkey,UnitedKingdom,UnitedStates,OECDcountries,CostaRica,Lithuania,RussianFederation
2000,1780.0,1798.0,1595.0,1779.0,2263.0,1896.0,1466.0,1978.0,1742.0,1550.0,1452.0,2108.0,1845.0,1826.0,2017.0,1851.0,1821.0,,1976.0,1603.0,2311.0,1462.0,1836.0,1455.0,1988.0,1917.0,1816.0,1710.0,1753.0,1642.0,1713.0,1937.0,1700.0,1832.0,1841.0,2362.0,1897.0,1982.0
2001,1746.0,1785.0,1588.0,1771.0,2242.0,1818.0,1469.0,1970.0,1723.0,1530.0,1442.0,2101.0,1809.0,1818.0,1979.0,1838.0,1809.0,,1987.0,1585.0,2285.0,1452.0,1825.0,1429.0,1974.0,1900.0,1801.0,1696.0,1763.0,1618.0,1673.0,1942.0,1705.0,1811.0,1826.0,2329.0,1911.0,1980.0
2002,1742.0,1783.0,1583.0,1754.0,2250.0,1816.0,1463.0,1973.0,1714.0,1497.0,1431.0,2093.0,1820.0,1800.0,1993.0,1827.0,1798.0,,1938.0,1581.0,2271.0,1435.0,1826.0,1414.0,1979.0,1894.0,1754.0,1721.0,1765.0,1595.0,1651.0,1943.0,1684.0,1806.0,1817.0,2357.0,1874.0,1982.0
2003,1735.0,1774.0,1578.0,1746.0,2235.0,1806.0,1458.0,1978.0,1705.0,1502.0,1425.0,2091.0,1795.0,1783.0,1974.0,1816.0,1799.0,,1928.0,1579.0,2277.0,1427.0,1823.0,1401.0,1984.0,1887.0,1698.0,1724.0,1756.0,1582.0,1665.0,1943.0,1674.0,1796.0,1810.0,2350.0,1844.0,1993.0
2004,1734.0,1777.0,1573.0,1759.0,2232.0,1817.0,1458.0,1986.0,1707.0,1526.0,1422.0,2083.0,1802.0,1772.0,1942.0,1815.0,1787.0,,1878.0,1578.0,2271.0,1448.0,1830.0,1421.0,1983.0,1893.0,1742.0,1737.0,1742.0,1605.0,1695.0,1918.0,1674.0,1798.0,1810.0,2369.0,1878.0,1993.0
2005,1732.0,1753.0,1565.0,1747.0,2157.0,1817.0,1451.0,2008.0,1697.0,1527.0,1411.0,2136.0,1803.0,1780.0,1931.0,1812.0,1775.0,,1906.0,1550.0,2290.0,1434.0,1815.0,1423.0,1994.0,1895.0,1769.0,1697.0,1726.0,1605.0,1690.0,1936.0,1673.0,1794.0,1806.0,2352.0,1879.0,1989.0
2006,1722.0,1736.0,1572.0,1745.0,2165.0,1799.0,1456.0,2001.0,1693.0,1511.0,1425.0,2125.0,1800.0,1776.0,1919.0,1813.0,1784.0,,1907.0,1552.0,2278.0,1430.0,1795.0,1420.0,1985.0,1883.0,1774.0,1668.0,1716.0,1599.0,1679.0,1944.0,1669.0,1797.0,1806.0,2360.0,1874.0,1998.0
2007,1723.0,1725.0,1577.0,1741.0,2128.0,1784.0,1433.0,1998.0,1691.0,1530.0,1424.0,2111.0,1795.0,1763.0,1931.0,1818.0,1785.0,,1878.0,1566.0,2260.0,1430.0,1774.0,1426.0,1976.0,1900.0,1791.0,1655.0,1704.0,1612.0,1669.0,1911.0,1677.0,1796.0,1802.0,2387.0,1903.0,1999.0
2008,1721.0,1717.0,1570.0,1735.0,2095.0,1790.0,1430.0,1968.0,1685.0,1538.0,1418.0,2106.0,1798.0,1743.0,1929.0,1807.0,1771.0,2209.0,2002.0,1567.0,2264.0,1430.0,1761.0,1430.0,1969.0,1887.0,1793.0,1674.0,1713.0,1617.0,1659.0,1900.0,1659.0,1787.0,1793.0,2392.0,1933.0,1997.0
2009,1692.0,1673.0,1548.0,1701.0,2074.0,1779.0,1417.0,1831.0,1661.0,1521.0,1373.0,2081.0,1781.0,1713.0,1927.0,1776.0,1714.0,2160.0,1952.0,1517.0,2255.0,1422.0,1740.0,1407.0,1948.0,1887.0,1780.0,1679.0,1720.0,1609.0,1651.0,1881.0,1651.0,1762.0,1766.0,2348.0,1863.0,1974.0
2010,1700.0,1666.0,1546.0,1703.0,2070.0,1800.0,1422.0,1875.0,1668.0,1528.0,1390.0,2020.0,1777.0,1702.0,1918.0,1777.0,1733.0,2146.0,1935.0,1517.0,2254.0,1421.0,1755.0,1415.0,1940.0,1890.0,1805.0,1680.0,1710.0,1635.0,1624.0,1877.0,1650.0,1773.0,1775.0,2243.0,1884.0,1976.0
2011,1699.0,1672.0,1560.0,1700.0,2047.0,1806.0,1437.0,1919.0,1662.0,1535.0,1393.0,2038.0,1770.0,1702.0,1920.0,1773.0,1728.0,2119.0,1952.0,1515.0,2248.0,1422.0,1746.0,1421.0,1938.0,1867.0,1793.0,1663.0,1716.0,1632.0,1619.0,1864.0,1634.0,1780.0,1773.0,2285.0,1859.0,1979.0
